volatileacidity,citricacid,residualsugar,chlorides,freesulfurdioxide,totalsulfurdioxide,density,sulphates,alcohol
0.2,0.26,6.8,0.049,22,93,0.993,0.42,11.0
0.14,0.39,1.2,0.044000000000000004,26,116,0.992,0.53,10.3
0.46,0.23,13.7,0.045,44,192,0.998,0.53,9.4
0.45,0.43,7.2,0.064,31,186,0.995,0.44,9.4
0.31,0.49,15.4,0.046,13,119,1.0,0.45,9.5
0.23,0.26,1.3,0.045,16,128,0.993,0.6,10.0
0.27,0.35,1.7,0.03,38,103,0.993,0.63,10.4
0.19,0.3,12.8,0.053,49,229,0.9990000000000001,0.49,9.1
0.36,0.25,5.7,0.015,14,73,0.99,0.59,13.2
0.25,0.34,1.2,0.026000000000000002,31,93,0.992,0.37,11.3
0.18,0.22,5.6,0.047,45,147,0.9940000000000001,0.54,10.0
0.28,0.44,1.8,0.032,32,107,0.991,0.48,12.2
0.23,0.35,9.2,0.044000000000000004,53,186,0.997,0.56,9.5
0.39,0.37,1.1,0.043,36,113,0.991,0.48,12.7
0.45,0.07,1.1,0.03,10,131,0.991,0.28,10.8
0.32,0.13,1.3,0.037000000000000005,45,156,0.992,0.38,10.7
0.42,0.39,12.1,0.04,61,248,0.998,0.58,9.7
0.23,0.31,10.7,0.038,59,186,0.997,0.55,9.5
0.32,0.32,11.0,0.038,16,66,0.9940000000000001,0.4,11.5
0.22,0.35,5.5,0.054000000000000006,37,183,0.995,0.5,10.3
0.34,0.28,11.0,0.04,31,117,0.998,0.29,9.2
0.32,0.26,7.9,0.05,53,180,0.995,0.5,9.6
0.42,0.09,1.6,0.019,18,68,0.991,0.51,11.4
0.26,0.19,3.4,0.049,47,172,0.992,0.43,10.4
0.18,0.27,1.3,0.048,26,105,0.9940000000000001,0.66,10.6
0.12,0.32,9.6,0.054000000000000006,64,162,0.996,0.41,9.4
0.29,0.39,6.7,0.036000000000000004,6,117,0.9940000000000001,0.42,10.7
0.19,0.35,13.5,0.038,49,118,0.995,0.63,10.7
0.29,0.52,7.9,0.049,35,192,0.996,0.51,9.5
0.18,0.29,1.7,0.035,39,144,0.993,0.5,10.5
0.33,0.34,2.0,0.044000000000000004,61,171,0.9890000000000001,0.53,13.3
0.35,0.14,5.0,0.046,48,198,0.9940000000000001,0.71,10.3
0.4,0.31,3.5,0.046,22,147,0.99,0.31,12.0
0.24,0.34,7.5,0.048,29,152,0.996,0.54,9.0
0.42,0.45,9.1,0.028999999999999998,20,125,0.996,0.36,10.1
0.28,0.37,7.0,0.057,35,208,0.997,0.55,10.2
0.3,0.32,1.4,0.032,31,161,0.992,0.42,10.5
0.18,0.34,1.6,0.04,43,148,0.991,0.59,11.5
0.36,0.31,13.6,0.053,20,113,0.995,0.56,11.0
0.11,0.47,10.6,0.052000000000000005,69,148,0.996,0.34,9.3
0.21,0.6,2.1,0.046,47,165,0.9940000000000001,0.54,10.1
0.38,0.2,3.4,0.046,9,116,0.9940000000000001,0.41,9.4
0.45,0.34,8.3,0.037000000000000005,33,216,0.998,0.64,9.7
0.21,0.28,8.6,0.045,37,221,0.995,0.54,10.4
0.33,0.27,4.9,0.036000000000000004,30,134,0.993,0.42,10.4
0.3,0.51,5.5,0.048,62,172,0.9940000000000001,0.45,9.1
0.27,0.19,2.0,0.084,21,191,0.995,0.63,9.6
0.2,0.49,1.7,0.04,34,169,0.9940000000000001,0.37,10.1
0.3,0.42,7.4,0.025,51,175,0.993,0.32,11.4
0.25,0.24,3.6,0.057,13,85,0.9940000000000001,0.48,9.5
0.29,0.22,9.5,0.055999999999999994,44,213,0.997,0.61,9.3
0.38,0.34,8.3,0.052000000000000005,44,168,0.996,0.52,9.2
0.27,0.47,1.2,0.146,28,105,0.992,0.51,10.1
0.21,0.34,7.1,0.037000000000000005,33,150,0.996,0.45,9.7
0.3,0.28,11.5,0.040999999999999995,29,109,0.9940000000000001,0.3,10.9
0.28,0.26,2.8,0.039,50,118,0.991,0.59,11.2
0.22,0.37,15.0,0.053,59,178,0.9990000000000001,0.82,9.5
0.13,0.36,1.6,0.052000000000000005,23,72,0.99,0.5,11.5
0.25,0.21,1.5,0.044000000000000004,21,108,0.991,0.59,11.0
0.18,0.28,9.8,0.039,29,113,0.9940000000000001,0.45,10.9
0.17,0.34,6.4,0.042,16,111,0.993,0.4,10.8
0.26,0.3,2.2,0.025,33,134,0.992,0.47,10.6
0.29,0.23,1.1,0.044000000000000004,38,180,0.9890000000000001,0.34,11.9
0.33,0.27,1.2,0.046,34,175,0.993,0.54,9.4
0.17,0.27,0.7,0.03,11,68,0.992,0.41,9.8
0.46,0.41,16.8,0.084,59,222,0.9990000000000001,0.58,9.0
0.23,0.49,0.9,0.057,15,73,0.993,0.38,10.4
0.15,0.47,11.4,0.035,49,128,0.995,0.34,10.5
0.27,0.4,10.0,0.039,74,227,0.996,0.5,9.4
0.42,0.41,12.4,0.032,50,179,0.996,0.6,9.7
0.34,0.3,1.8,0.045,44,142,0.991,0.45,10.8
0.22,0.28,14.0,0.053,83,197,0.998,0.45,9.8
0.32,0.3,7.3,0.174,46,159,0.995,0.49,9.4
0.26,0.3,9.3,0.05,35,154,0.996,0.5,10.4
0.18,0.35,5.4,0.054000000000000006,53,143,0.993,0.54,11.0
0.25,0.74,19.4,0.054000000000000006,44,169,1.0,0.45,9.8
0.16,0.27,15.5,0.05,25,135,0.998,0.43,8.7
0.14,0.35,1.5,0.047,40,117,0.991,0.72,11.1
0.24,0.36,2.0,0.031,27,139,0.991,0.48,12.5
0.28,0.31,1.5,0.053,20,98,0.991,0.5,11.4
0.32,0.26,7.7,0.054000000000000006,56,209,0.996,0.45,8.8
0.69,0.21,9.5,0.07,33,172,0.997,0.55,9.1
0.17,0.74,12.8,0.045,24,126,0.9940000000000001,0.38,12.2
0.27,0.52,3.2,0.043,28,152,0.991,0.53,11.4
0.18,0.28,3.3,0.044000000000000004,18,91,0.993,0.64,10.8
0.19,0.49,6.6,0.036000000000000004,49,172,0.993,0.27,11.5
0.19,0.19,7.1,0.048,36,110,0.9940000000000001,0.41,9.5
0.36,0.52,10.1,0.05,29,140,0.996,0.4,9.4
0.31,0.52,1.7,0.028999999999999998,5,61,0.992,0.43,10.4
0.33,0.32,11.1,0.036000000000000004,25,119,0.996,0.34,10.5
0.29,0.49,11.7,0.035,40,131,0.996,0.34,10.8
0.16,0.35,1.6,0.039,24,147,0.9940000000000001,0.36,10.0
0.41,0.21,1.9,0.048,30,112,0.991,0.55,11.2
0.55,0.04,2.5,0.031,48,111,0.991,0.32,11.9
0.23,0.4,7.5,0.04,50,151,0.993,0.27,11.4
0.28,0.24,20.0,0.07400000000000001,32,174,0.9990000000000001,0.44,9.3
0.26,0.32,1.2,0.040999999999999995,29,94,0.99,0.45,12.0
0.22,0.23,17.3,0.047,37,118,0.9990000000000001,0.46,8.8
0.3,0.24,1.2,0.034,17,121,0.993,0.36,9.2
0.29,0.24,3.2,0.037000000000000005,31,95,0.9890000000000001,0.66,12.6
0.37,0.25,2.5,0.027999999999999997,24,84,0.991,0.36,11.7
0.22,0.46,6.2,0.066,41,187,0.9940000000000001,0.42,9.7
0.18,0.32,9.6,0.052000000000000005,24,90,0.996,0.49,9.4
0.18,0.31,1.1,0.045,20,73,0.993,0.4,10.8
0.27,0.42,1.6,0.05,35,135,0.992,0.46,11.0
